"Date","Price","Open","High","Low","Change %"
"09/30/2025","3.526","3.535","3.545","3.520","-0.16%"
"09/29/2025","3.531","3.557","3.563","3.530","-0.97%"
"09/26/2025","3.566","3.592","3.606","3.551","-1.10%"
"09/25/2025","3.606","3.577","3.609","3.558","1.07%"
"09/24/2025","3.568","3.556","3.580","3.545","0.13%"
"09/23/2025","3.563","3.548","3.572","3.544","0.14%"
"09/22/2025","3.558","3.558","3.571","3.542","0.04%"
"09/19/2025","3.556","3.550","3.560","3.541","0.45%"
"09/18/2025","3.540","3.475","3.540","3.469","1.54%"
"09/17/2025","3.487","3.487","3.493","3.469","-0.06%"
"09/16/2025","3.489","3.492","3.504","3.463","0.11%"
"09/15/2025","3.485","3.515","3.516","3.475","-0.48%"
"09/12/2025","3.502","3.447","3.512","3.447","1.66%"
"09/11/2025","3.445","3.463","3.478","3.422","-0.43%"
"09/10/2025","3.460","3.475","3.481","3.459","-0.33%"
"09/09/2025","3.471","3.471","3.492","3.461","1.83%"
"09/08/2025","3.409","3.447","3.450","3.398","-1.16%"
"09/05/2025","3.449","3.474","3.489","3.421","-1.32%"
"09/04/2025","3.495","3.542","3.542","3.484","-1.30%"
"09/03/2025","3.541","3.579","3.601","3.533","-1.24%"
"09/02/2025","3.585","3.561","3.609","3.555","1.39%"
"09/01/2025","3.536","3.535","3.543","3.510","0.68%"
"08/29/2025","3.512","3.484","3.515","3.474","1.11%"
"08/28/2025","3.474","3.496","3.508","3.471","-1.37%"
"08/27/2025","3.522","3.490","3.540","3.481","0.65%"
"08/26/2025","3.499","3.507","3.530","3.492","-0.05%"
"08/25/2025","3.501","3.440","3.503","3.435","2.48%"
"08/22/2025","3.416","3.470","3.473","3.411","-1.32%"
"08/21/2025","3.462","3.411","3.467","3.404","1.43%"
"08/20/2025","3.413","3.430","3.441","3.407","-0.79%"
"08/19/2025","3.441","3.454","3.468","3.431","-0.34%"
"08/18/2025","3.452","3.462","3.466","3.418","-0.44%"
"08/15/2025","3.467","3.372","3.467","3.368","2.75%"
"08/14/2025","3.375","3.336","3.375","3.308","1.14%"
"08/13/2025","3.336","3.396","3.398","3.332","-2.12%"
"08/12/2025","3.408","3.363","3.426","3.358","1.57%"
"08/11/2025","3.356","3.335","3.364","3.315","0.23%"
"08/08/2025","3.348","3.307","3.362","3.299","1.47%"
"08/07/2025","3.300","3.319","3.334","3.286","-0.52%"
"08/06/2025","3.317","3.293","3.329","3.292","0.97%"
"08/05/2025","3.285","3.283","3.313","3.259","0.04%"
"08/04/2025","3.284","3.354","3.371","3.283","-1.98%"
"08/01/2025","3.350","3.382","3.405","3.307","0.09%"
"07/31/2025","3.347","3.327","3.364","3.327","-0.33%"
"07/30/2025","3.358","3.346","3.373","3.330","0.21%"
"07/29/2025","3.351","3.357","3.375","3.333","0.09%"
"07/28/2025","3.348","3.378","3.382","3.339","-1.09%"
"07/25/2025","3.385","3.398","3.443","3.385","0.36%"
"07/24/2025","3.373","3.327","3.377","3.322","3.06%"
"07/23/2025","3.273","3.284","3.294","3.263","0.25%"
"07/22/2025","3.265","3.306","3.319","3.257","-0.97%"
"07/21/2025","3.297","3.364","3.365","3.288","-2.92%"
"07/18/2025","3.396","3.393","3.407","3.387","0.41%"
"07/17/2025","3.382","3.391","3.416","3.370","-0.06%"
"07/16/2025","3.384","3.402","3.422","3.371","-0.70%"
"07/15/2025","3.408","3.418","3.426","3.365","-0.73%"
"07/14/2025","3.433","3.409","3.442","3.408","0.50%"
"07/11/2025","3.416","3.381","3.423","3.378","0.41%"
"07/10/2025","3.402","3.349","3.403","3.339","1.31%"
"07/09/2025","3.358","3.358","3.366","3.341","-0.15%"
"07/08/2025","3.363","3.330","3.386","3.330","1.23%"
"07/07/2025","3.322","3.269","3.327","3.262","1.31%"
"07/04/2025","3.279","3.264","3.283","3.244","0.15%"
"07/03/2025","3.274","3.316","3.319","3.273","-1.27%"
"07/02/2025","3.316","3.254","3.335","3.250","1.97%"
"07/01/2025","3.252","3.260","3.264","3.220","-1.09%"
"06/30/2025","3.288","3.261","3.290","3.246","0.77%"
"06/27/2025","3.263","3.236","3.295","3.231","0.55%"
"06/26/2025","3.245","3.232","3.258","3.224","-0.32%"
"06/25/2025","3.256","3.229","3.278","3.196","0.20%"
"06/24/2025","3.249","3.218","3.283","3.213","0.68%"
"06/23/2025","3.227","3.291","3.292","3.220","-0.49%"
"06/20/2025","3.243","3.235","3.273","3.231","-0.89%"
"06/19/2025","3.272","3.255","3.274","3.240","1.77%"
"06/18/2025","3.215","3.248","3.270","3.212","-1.11%"
"06/17/2025","3.251","3.264","3.272","3.217","0.71%"
"06/16/2025","3.228","3.257","3.303","3.216","-0.86%"
"06/13/2025","3.256","3.161","3.260","3.161","2.28%"
"06/12/2025","3.184","3.221","3.223","3.177","-1.41%"
"06/11/2025","3.229","3.218","3.239","3.196","0.69%"
"06/10/2025","3.207","3.235","3.240","3.195","-0.93%"
"06/09/2025","3.237","3.238","3.272","3.176","-0.11%"
"06/06/2025","3.240","3.251","3.256","3.209","-0.69%"
"06/05/2025","3.263","3.203","3.270","3.159","1.81%"
"06/04/2025","3.205","3.187","3.207","3.174","0.50%"
"06/03/2025","3.189","3.154","3.190","3.151","-0.14%"
"06/02/2025","3.194","3.182","3.226","3.172","0.92%"
"05/30/2025","3.164","3.179","3.205","3.164","-0.33%"
"05/29/2025","3.175","3.246","3.267","3.176","-1.57%"
"05/28/2025","3.226","3.226","3.240","3.207","0.48%"
"05/27/2025","3.210","3.221","3.230","3.191","-0.83%"
"05/26/2025","3.237","3.277","3.296","3.236","-0.98%"
"05/23/2025","3.269","3.303","3.318","3.242","-1.33%"
"05/22/2025","3.313","3.332","3.349","3.309","0.26%"
"05/21/2025","3.305","3.297","3.343","3.277","1.43%"
"05/20/2025","3.258","3.240","3.279","3.227","0.09%"
"05/19/2025","3.255","3.271","3.329","3.245","-0.21%"
"05/16/2025","3.262","3.270","3.272","3.237","-1.00%"
"05/15/2025","3.295","3.374","3.374","3.294","-2.50%"
"05/14/2025","3.379","3.355","3.382","3.330","0.79%"
"05/13/2025","3.353","3.331","3.356","3.330","0.89%"
"05/12/2025","3.323","3.292","3.334","3.292","1.81%"
"05/09/2025","3.264","3.260","3.294","3.252","1.01%"
"05/08/2025","3.232","3.199","3.234","3.191","1.16%"
"05/07/2025","3.195","3.264","3.267","3.194","-1.86%"
"05/06/2025","3.256","3.263","3.278","3.244","0.57%"
"05/05/2025","3.237","3.248","3.250","3.221","-0.09%"
"05/02/2025","3.240","3.197","3.243","3.179","2.37%"
"04/30/2025","3.165","3.213","3.215","3.162","-1.62%"
"04/29/2025","3.217","3.214","3.235","3.207","-0.39%"
"04/28/2025","3.230","3.210","3.243","3.201","1.25%"
"04/25/2025","3.190","3.179","3.198","3.169","0.89%"
"04/24/2025","3.161","3.237","3.238","3.159","-2.26%"
"04/23/2025","3.234","3.230","3.252","3.211","0.76%"
"04/22/2025","3.210","3.251","3.253","3.207","-0.97%"
"04/17/2025","3.241","3.284","3.309","3.224","-0.80%"
"04/16/2025","3.267","3.263","3.282","3.249","-0.82%"
"04/15/2025","3.295","3.257","3.308","3.250","0.55%"
"04/14/2025","3.276","3.328","3.339","3.269","-1.99%"
"04/11/2025","3.343","3.365","3.408","3.309","-0.33%"
"04/10/2025","3.354","3.420","3.450","3.334","-1.06%"
"04/09/2025","3.390","3.473","3.476","3.364","-0.04%"
"04/08/2025","3.391","3.395","3.422","3.330","-0.22%"
"04/07/2025","3.399","3.318","3.407","3.247","2.24%"
"04/04/2025","3.325","3.350","3.350","3.265","-1.35%"
"04/03/2025","3.370","3.373","3.394","3.355","-1.52%"
"04/02/2025","3.422","3.409","3.436","3.374","0.75%"
"04/01/2025","3.397","3.428","3.431","3.371","-1.41%"
"03/31/2025","3.445","3.385","3.453","3.380","0.25%"
"03/28/2025","3.437","3.435","3.454","3.411","-0.84%"
"03/27/2025","3.466","3.466","3.487","3.446","-0.57%"
"03/26/2025","3.486","3.476","3.499","3.465","0.22%"
"03/25/2025","3.478","3.474","3.513","3.471","0.52%"
"03/24/2025","3.460","3.477","3.485","3.454","-0.07%"
"03/21/2025","3.463","3.478","3.482","3.449","-0.55%"
"03/20/2025","3.481","3.446","3.483","3.442","0.33%"
"03/19/2025","3.470","3.463","3.486","3.437","-0.56%"
"03/18/2025","3.490","3.494","3.526","3.491","0.17%"
"03/17/2025","3.484","3.553","3.565","3.475","-2.33%"
"03/14/2025","3.566","3.568","3.615","3.548","0.39%"
"03/13/2025","3.553","3.567","3.595","3.547","-0.18%"
"03/12/2025","3.559","3.579","3.605","3.544","-0.85%"
"03/11/2025","3.589","3.557","3.598","3.545","1.37%"
"03/10/2025","3.541","3.565","3.568","3.510","-0.28%"
"03/07/2025","3.551","3.549","3.559","3.497","-0.42%"
"03/06/2025","3.566","3.583","3.631","3.544","2.31%"
"03/05/2025","3.486","3.363","3.512","3.338","7.94%"
"03/04/2025","3.229","3.177","3.238","3.161","0.39%"
"03/03/2025","3.217","3.163","3.244","3.150","2.44%"
"02/28/2025","3.140","3.120","3.146","3.105","-0.03%"
"02/27/2025","3.141","3.144","3.175","3.140","-0.41%"
"02/26/2025","3.154","3.201","3.201","3.147","-1.25%"
"02/25/2025","3.194","3.227","3.232","3.184","-0.84%"
"02/24/2025","3.221","3.237","3.246","3.207","0.03%"
"02/21/2025","3.220","3.264","3.266","3.216","-1.53%"
"02/20/2025","3.270","3.277","3.290","3.265","1.02%"
"02/19/2025","3.237","3.185","3.240","3.178","2.47%"
"02/18/2025","3.159","3.187","3.190","3.156","-0.19%"
"02/17/2025","3.165","3.175","3.193","3.157","1.38%"
"02/14/2025","3.122","3.107","3.137","3.101","0.32%"
"02/13/2025","3.112","3.183","3.189","3.102","-2.63%"
"02/12/2025","3.196","3.161","3.207","3.156","1.20%"
"02/11/2025","3.158","3.108","3.171","3.105","2.33%"
"02/10/2025","3.086","3.089","3.102","3.073","-0.06%"
"02/07/2025","3.088","3.086","3.123","3.073","-0.03%"
"02/06/2025","3.089","3.095","3.123","3.071","0.59%"
"02/05/2025","3.071","3.092","3.101","3.055","-1.41%"
"02/04/2025","3.115","3.145","3.146","3.109","0.10%"
"02/03/2025","3.112","3.194","3.201","3.090","-2.81%"
"01/31/2025","3.202","3.284","3.285","3.189","-1.78%"
"01/30/2025","3.260","3.295","3.296","3.249","-1.78%"
"01/29/2025","3.319","3.258","3.321","3.257","0.91%"
"01/28/2025","3.289","3.285","3.291","3.271","0.43%"
"01/27/2025","3.275","3.272","3.289","3.240","-0.97%"
"01/24/2025","3.307","3.278","3.328","3.275","0.43%"
"01/23/2025","3.293","3.257","3.317","3.255","0.92%"
"01/22/2025","3.263","3.278","3.279","3.234","-0.24%"
"01/21/2025","3.271","3.286","3.308","3.262","-0.70%"
"01/20/2025","3.294","3.299","3.332","3.292","-0.42%"
"01/17/2025","3.308","3.330","3.331","3.282","-0.63%"
"01/16/2025","3.329","3.358","3.391","3.329","-0.57%"
"01/15/2025","3.348","3.452","3.460","3.329","-3.60%"
"01/14/2025","3.473","3.447","3.475","3.418","0.58%"
"01/13/2025","3.453","3.456","3.489","3.445","0.85%"
